Ticker,CAGR %,Buy&Hold %,Max DD %,Sharpe,Sortino,Calmar,Win Rate %,Profit Factor,SQN,# Trades
SPY,0.81,201.2,-4.03,0.39,0.57,0.2,50.0,1.78,1.24,14
QQQ,1.16,311.3,-3.49,0.5,0.73,0.33,62.5,2.44,1.49,16
AAPL,1.85,521.8,-5.44,0.62,1.01,0.34,44.4,2.76,1.58,18
MSFT,-0.25,383.2,-5.97,-0.11,-0.14,-0.04,40.0,0.8,-0.35,15
