Ticker,CAGR %,Buy&Hold %,Max DD %,Sharpe,Sortino,Calmar,Win Rate %,Profit Factor,SQN,# Trades
SPY,-2.06,-18.6,-2.76,-0.76,-0.95,-0.74,25.0,0.24,-1.22,4
QQQ,-1.01,-32.3,-2.71,-0.56,-0.77,-0.37,50.0,0.36,-0.52,2
AAPL,1.54,-27.3,-1.55,0.58,1.09,0.99,50.0,2.24,0.37,2
MSFT,-1.8,-26.4,-1.89,-0.77,-0.96,-0.95,33.3,0.16,-1.26,3
